region_id,region,country,provstate,city
40,Australasia & Oceania,Papua New Guinea,East Sepik (Province),Nimo
48,Australasia & Oceania,Papua New Guinea,Unknown,Liatora
120,Central America & Caribbean,Costa Rica,San Jose (Province),San Jose
528,Central America & Caribbean,El Salvador,San Salvador (Department),San Salvador
493,Central America & Caribbean,Guatemala,Guatemala City (Capital District),Guatemala City
504,Central America & Caribbean,Haiti,Port-au-Prince (Capital City),Port-au-Prince
459,Central America & Caribbean,Nicaragua,Managua (Administrative Region),Managua
480,Central America & Caribbean,Nicaragua,Matagalpa (Department),San Ramon
452,Central America & Caribbean,Nicaragua,Quilali (Administrative Region),Caulata
79,Central America & Caribbean,Panama,Darien (Province),Boca de Cupe
234,Central America & Caribbean,Panama,Panama (Province),Panama
521,Central Asia,Azerbaijan,Baku (Capital District),Baku
429,Central Asia,Georgia,Kvemo Kartli (Region),Marneuli
568,Central Asia,Tajikistan,Gorno-Badakhshan (Autonomous Region),Khorog
426,East Asia,China,Beijing (Municipality),Beijing
371,East Asia,Japan,Osaka (Prefecture),Osaka
117,East Asia,Japan,Tokyo (Prefecture),Tokyo
435,Eastern Europe,Belarus,Minsk (Province),Minsk
492,Eastern Europe,Croatia,Western Slovania (Region),Kusonje
104,Eastern Europe,Croatia,Zagreb (City District),Zagreb
543,Eastern Europe,Estonia,Harju (County),Tallinn
545,Eastern Europe,Latvia,Riga (County),Riga
262,Eastern Europe,Romania,Bucharest (Municipality),Bucharest
418,Eastern Europe,Russia,Chechnya (Republic),Grozny
514,Eastern Europe,Russia,Moscow (Oblast),Moscow
400,Eastern Europe,Russia,North Ossetia (Republic),Vladikavkaz
740,Eastern Europe,Russia,Rostov (Oblast),Rostov-on-Don
294,Eastern Europe,Yugoslavia,Belgrade (District),Belgrade
18,Eastern Europe,Yugoslavia,Zlatibor (District),Sjenica
704,Middle East & North Africa,Algeria,Ain Defla (Province),Khemis Miliana
150,Middle East & North Africa,Algeria,Algiers (Province),Algiers
607,Middle East & North Africa,Algeria,Algiers (Province),Algiers Province
460,Middle East & North Africa,Algeria,Algiers (Province),Bordj el-Bahri
687,Middle East & North Africa,Algeria,Algiers (Province),El-Harrash
731,Middle East & North Africa,Algeria,Blida (Province),Blida
605,Middle East & North Africa,Algeria,Blida (Province),Blida Province
93,Middle East & North Africa,Algeria,Boumerdes (Province),Reghaia
680,Middle East & North Africa,Algeria,Chlef (Province),Tenes
592,Middle East & North Africa,Algeria,Laghouat (Province),Laghouat
601,Middle East & North Africa,Algeria,Tiaret (Province),Tiaret
534,Middle East & North Africa,Algeria,Unknown,Tlelac
